Observed,strata,x-val,y-val,resource,StepLength,Bearing,CosTA
1,104,51,19,-1.253153,6.0827625,-0.1651487,0.902362012
1,105,78,10,1.780259,28.4604989,-0.3217506,0.987762962
1,106,83,7,2.576549,5.8309519,-0.5404195,0.97618707
1,107,89,5,2.348312,6.3245553,-0.3217506,0.97618707
1,108,93,7,0.4356943,4.472136,0.4636476,0.707106755
1,109,96,9,0.4303975,3.6055513,0.5880026,0.992277876
1,110,88,19,1.33035,12.8062485,2.2455373,-0.086629651
1,111,85,27,0.9544123,8.5440037,1.929567,0.950495316
1,112,87,29,1.128951,2.8284271,0.7853982,0.413802975
1,113,92,35,-0.3225739,7.8102497,0.8760581,0.995893205
1,114,96,38,-0.7364758,5,0.6435011,0.973080274
1,115,97,26,0.4832304,12.0415946,-1.4876551,-0.531491068
1,116,86,24,1.426969,11.1803399,-2.9617392,0.096561535
1,117,83,25,0.6630659,3.1622777,2.8198421,0.876812431
1,118,81,40,-0.9786378,15.132746,1.7033479,0.438835335
1,119,76,56,0.7534583,16.7630546,1.8736812,0.985528324
1,120,75,58,1.638577,2.236068,2.0344439,0.987105484
1,121,72,54,0.8059679,5,-2.2142974,-0.447213659
1,122,70,53,0.9716769,2.236068,-2.677945,0.894427195
1,123,68,55,0.661509,2.8284271,2.3561945,0.316227733
1,124,59,61,0.3393799,10.8166538,2.5535901,0.980580668
1,125,54,67,0.1945684,7.8102497,2.2655346,0.958798098
1,126,52,71,-0.4055388,4.472136,2.0344439,0.973417161
1,127,36,84,-0.3035471,20.6155281,2.4592761,0.911107908
1,128,32,83,0.5509266,4.1231056,-2.896614,0.600000009
1,129,32,79,0.2609698,4,-1.5707963,0.24253559
1,130,44,77,1.034551,12.1655251,-0.1651487,0.164399036
1,131,46,76,0.6050056,2.236068,-0.4636476,0.955779018
1,132,40,65,-0.5343396,12.5299641,-2.070143,-0.035691491
1,133,37,45,0.8087933,20.2237484,-1.7196863,0.939216013
1,134,38,36,-0.4795405,9.0553851,-1.4601391,0.966506285
1,135,35,17,1.938878,19.2353841,-1.7273982,0.964498359
1,136,32,16,1.813863,3.1622777,-2.8198421,0.46031716
1,137,30,13,1.633963,3.6055513,-2.1587989,0.789352198
1,138,30,10,0.448042,3,-1.5707963,0.832050296
1,139,28,4,1.155607,6.3245553,-1.8925469,0.948683284
1,140,27,4,1.227782,1,3.1415927,0.316227828
1,141,23,4,2.422963,4,3.1415927,1
1,142,19,4,1.522064,4,3.1415927,1
1,143,23,5,1.551615,4.1231056,0.2449787,-0.970142502
1,144,32,16,1.813863,14.2126704,0.8850668,0.802043142
1,145,39,27,-0.3816186,13.0384048,1.0040671,0.992927816
1,146,40,27,0.0137629,1,0,0.5368755
1,147,39,36,-0.648309,9.0553851,1.6814535,-0.110431478
1,148,36,46,1.519045,10.4403065,1.8622531,0.983700226
1,149,33,52,1.362898,6.7082039,2.0344439,0.985211757
1,150,32,54,0.7352142,2.236068,2.0344439,1
1,151,26,57,1.42078,6.7082039,2.677945,0.800000005
1,152,25,57,1.617056,1,3.1415927,0.89442715
1,153,11,61,0.1609763,14.5602198,2.863293,0.961523936
1,154,7,61,0.4810127,4,3.1415927,0.961523936
1,155,4,53,-0.1591797,8.5440037,-1.929567,0.351123488
1,156,6,52,0.0640091,2.236068,-0.4636476,0.104684773
1,157,15,26,0.7834866,27.513633,-1.237552,0.715187214
1,158,30,11,0.6610529,21.2132034,-0.7853982,0.899508186
1,159,45,2,1.210996,17.4928557,-0.5404195,0.970142491
1,160,48,1,0.9008327,3.1622777,-0.3217506,0.97618707
1,161,51,3,0.3321376,3.6055513,0.5880026,0.61394058
1,162,50,14,0.8781701,11.045361,1.6614562,0.477091872
1,163,41,15,2.259111,9.0553851,3.0309354,0.19996003
1,164,35,22,1.339792,9.2195445,2.2794226,0.730656849
1,165,27,22,-0.126956,8,3.1415927,0.650791339
1,166,20,25,-0.5794122,7.6157731,2.7367009,0.919145025
1,167,8,28,0.8116401,12.3693169,2.896614,0.987241124
1,168,6,30,0.9146854,2.8284271,2.3561945,0.857492926
1,169,4,34,0.5411997,4.472136,2.0344439,0.948683284
1,170,1,46,-0.5524998,12.3693169,1.815775,0.97618707
1,171,2,45,-0.0863722,1.4142136,-0.7853982,-0.85749295
1,172,5,44,-0.8886383,3.1622777,-0.3217506,0.894427195
1,173,38,45,0.649478,33.015148,0.0302938,0.93866973
1,174,51,42,-0.655394,13.3416641,-0.2267988,0.967133329
1,175,58,41,-1.387594,7.0710678,-0.1418971,0.996398015
1,176,65,33,-1.593599,10.6301458,-0.8519663,0.758316767
1,177,66,27,-0.7257094,6.0827625,-1.4056476,0.850594581
1,178,72,20,0.1286197,9.2195445,-0.8621701,0.855915591
1,179,95,28,0.5480157,24.3515913,0.3347368,0.365238907
1,180,99,35,0.6308132,8.0622577,1.0516502,0.753837401
1,181,100,21,1.732075,14.0356688,-1.4994889,-0.830688254
1,182,96,24,1.416395,5,2.4980915,-0.655472865
1,183,94,30,0.3943616,6.3245553,1.8925469,0.822192228
1,184,94,32,0.6215524,2,1.5707963,0.948683284
1,185,96,35,0.4498808,3.6055513,0.9827937,0.832050296
1,186,100,36,0.1234839,4.1231056,0.2449787,0.739940114
1,187,100,36,0.1234839,0,0,0.970142491
1,188,100,36,0.1234839,0,0,1
1,189,100,31,-0.6526604,5,-1.5707963,2.68E-08
1,190,100,30,-0.1835329,1,-1.5707963,1
1,191,89,24,1.054207,12.5299641,-2.6422459,0.478852135
1,192,96,25,0.8294128,7.0710678,0.1418971,-0.9367922
1,193,99,22,1.487349,4.2426407,-0.7853982,0.599999934
1,194,100,21,1.732075,1.4142136,-0.7853982,1
1,195,97,18,-0.027753,4.2426407,-2.3561945,2.68E-08
1,196,93,10,0.4118742,8.9442719,-2.0344439,0.948683284
1,197,83,8,1.506085,10.198039,-2.9441971,0.61394058
1,198,80,8,0.8146866,3,3.1415927,0.980580686
1,199,76,7,2.3,4.1231056,-2.896614,0.970142514
0,2,20,38,-0.9933139,46.0108683,-2.4023156,-0.811534345
0,2,19,26,0.0296067,55.4436651,-2.2539878,-0.888974544
0,2,37,78,-0.6605014,19.2353841,2.6546934,0.275781875
0,2,28,74,-0.4945259,26.4764046,2.9516044,-0.017507079
0,2,68,72,1.409716,14.3178211,0.2110933,0.40647216
0,2,69,47,-0.7862464,26.6270539,-0.9723774,-0.692451274
0,2,47,71,0.7027978,7.2801099,2.863293,0.070744284
0,2,67,67,0.1584722,13.1529464,-0.1526493,0.054819433
0,2,87,74,-0.8845172,33.3766385,0.1503714,0.350277753
0,2,48,66,-1.819169,6.7082039,-2.677945,-0.621882179
0,3,62,69,-1.18903,8.5440037,-1.2120257,-0.607910528
0,3,52,83,-0.9316883,9.2195445,2.4329664,0.149464757
0,3,45,62,-2.166617,20.5182845,-2.3217254,-0.981561577
0,3,54,53,-0.0866526,24.5153013,-1.7761917,-0.938269265
0,3,87,67,-0.8372051,29.7321375,-0.3430239,0.213909571
0,3,88,52,-1.399533,38.2883794,-0.7114591,-0.152265179
0,3,85,74,-1.123231,26.1725047,-0.1148766,0.429304649
0,3,48,82,-0.0831932,12.083046,2.7149652,-0.131589124
0,3,37,65,-0.4027058,25.0599282,-2.6422459,-0.871349539
0,3,80,42,-0.3804426,40.8166633,-1.0303768,-0.454470308
0,4,76,96,-1.955824,22.0227155,0.6889244,0.635707283
0,4,9,79,0.4112251,50.0899191,-3.0816645,-0.059892316
0,4,80,86,-0.8731744,21.3775583,0.1882215,0.187112129
0,4,88,51,-1.200783,42.4499706,-0.8187192,-0.730271423
0,4,24,60,0.9081563,41.3400532,-2.5804292,-0.532171603
0,4,49,77,0.0562355,11.1803399,-2.677945,-0.447213659
0,4,19,92,0.0291055,41.2310563,2.896614,0.24253559
0,4,32,79,0.2609698,27.1661554,-3.0309354,-0.110431585
0,4,57,69,-0.1612194,13.1529464,-1.7234457,-0.988371695
0,4,44,67,-1.576315,21.2132034,-2.3561945,-0.707106793
0,5,58,66,-0.2171898,18.1107703,-1.6814535,-0.938343094
0,5,60,63,0.8211927,21,-1.5707963,-0.894427171
0,5,53,79,-0.1006742,8.6023253,-2.5213432,-0.88378791
0,5,87,56,-0.9071871,38.8973007,-0.803578,-0.33342145
0,5,82,77,-0.8073059,23.0867928,-0.3080528,0.154967768
0,5,28,85,-0.0731788,32.0156212,3.1103528,-0.419058175
0,5,26,26,-0.4024159,67.2309453,-2.1010121,-0.997785159
0,5,63,89,-0.8742703,5.8309519,1.0303768,0.997054485
0,5,47,69,-1.076687,19.8494332,-2.284887,-0.968802715
0,5,64,62,1.507576,22.3606798,-1.3909428,-0.799999973
0,6,71,95,-1.135429,10.0498756,0.0996687,0.198019823
0,6,59,86,-0.5733145,8.2462113,-1.815775,-0.989461059
0,6,57,94,0.2565062,4,3.1415927,-0.09950374
0,6,54,97,0.7149039,7.6157731,2.7367009,0.300505997
0,6,68,64,1.54863,30.8058436,-1.3415644,-0.94639804
0,6,52,82,-1.114458,15,-2.2142974,-0.855731989
0,6,58,96,0.3119785,3.6055513,2.5535901,0.469155205
0,6,97,61,0.1771768,48.8364618,-0.7419473,-0.599021603
0,6,59,64,-0.0161454,30.0665928,-1.6373645,-0.99945223
0,6,29,75,-0.0025443,37.2155881,-2.6057814,-0.593563784
0,7,87,78,-0.2248152,29.2061637,-0.6640462,0.313377422
0,7,96,72,0.4238644,40,-0.6435011,0.332820129
0,7,82,96,-1.322341,18,0,0.832050296
0,7,58,77,0.2788026,19.9248588,-1.8766752,-0.779508934
0,7,76,37,-1.609584,60.2079729,-1.3701434,-0.377735771
0,7,78,72,-0.6559189,27.784888,-1.0427219,-0.059892309
0,7,77,89,-1.381859,14.7648231,-0.4939414,0.469612949
0,7,44,70,-0.0699414,32.8024389,-2.226492,-0.946978714
0,7,65,96,-0.5828122,1,0,0.832050296
0,7,51,67,-0.1117889,31.7804972,-1.9922155,-0.846524167
0,8,66,99,-0.6593175,3.6055513,2.5535901,-0.707106788
0,8,73,90,-1.862095,8.0622577,-1.0516502,0.31622774
0,8,62,66,0.7005073,31.7804972,-1.7928782,-0.407283284
0,8,97,99,-0.076049,28.0713377,0.0713075,0.992061421
0,8,95,89,-0.9761071,27.202941,-0.2984989,0.879543442
0,8,36,87,-0.0452846,34.4818793,-2.8473581,-0.995314772
0,8,64,83,0.7503605,14.8660687,-1.9138203,-0.514495818
0,8,46,94,0.042664,23.194827,-3.0118901,-0.997709701
0,8,73,98,-0.7403365,4.1231056,0.2449787,0.998868138
0,8,58,99,1.024607,11.1803399,2.9617392,-0.929681503
0,9,82,90,-0.9278939,12.8062485,-0.6747409,0.543251275
0,9,49,95,0.0022077,23.194827,-3.0118901,-0.981615384
0,9,75,95,-0.7872772,4.2426407,-0.7853982,0.447213522
0,9,73,95,-0.8603432,3.1622777,-1.2490458,-7.32051E-08
0,9,88,72,-0.7671957,30.528675,-1.0191413,0.227884466
0,9,15,78,-0.5629045,60.4069532,-2.8041366,-0.999876672
0,9,83,89,-1.016868,14.2126704,-0.6857295,0.533992962
0,9,82,12,1.206216,86.5794433,-1.4550371,-0.204537675
0,9,72,95,-1.036865,3,-1.5707963,-0.316227784
0,9,58,71,0.5901687,30.4138127,-2.0491488,-0.717427899
0,10,79,78,-1.148501,14.3178211,-2.0032041,0.061494802
0,10,84,67,-1.1864,24.0208243,-1.6124389,0.437034355
0,10,86,82,0.0786899,9.0553851,-1.4601391,0.5684319
0,10,74,65,0.9701193,28.2311884,-1.971037,0.093563674
0,10,75,86,-1.728596,11.1803399,-2.677945,-0.575493344
0,10,76,90,-0.8693758,9.0553851,-3.0309354,-0.822730302
0,10,73,78,-1.515468,17.691806,-2.3162158,-0.248835812
0,10,81,82,-1.155654,9.8488578,-1.9890207,0.075644699
0,10,92,92,-0.5464452,7.0710678,0.1418971,0.804574034
0,10,61,36,-1.521944,60.0083328,-1.9822526,0.082391623
0,11,60,57,0.3580576,43.1393092,-2.3725865,-0.212162759
0,11,96,78,1.125828,10.2956301,-1.0636978,0.888974565
0,11,59,65,0.3702275,38.8329757,-2.5393053,-0.371390673
0,11,99,58,-0.5620817,30.0832179,-1.3016288,0.755993216
0,11,41,90,0.271729,50.0899191,3.0816645,-0.863778902
0,11,82,73,-1.28051,16.643317,-2.1421338,0.016664355
0,11,99,66,-0.4826443,22.4722051,-1.2068174,0.814566528
0,11,82,91,-0.6245181,9.8488578,2.7233683,-0.985622259
0,11,65,90,-0.7508769,26.1725047,3.026716,-0.890148236
0,11,92,97,-0.9033243,10.0498756,1.4711277,-0.469155246
0,12,68,68,1.489019,31.0644491,-2.5625184,-0.392841502
0,12,87,76,-0.8943423,11.4017543,-2.2318395,-0.072975646
0,12,50,50,-1.823752,56.2227712,-2.4696295,-0.305849514
0,12,84,87,-1.0903,10.198039,2.9441971,-0.924678097
0,12,56,82,-0.2907684,38.1182371,-3.0628087,-0.785813121
0,12,82,60,-0.6378668,27.7308492,-2.0183163,0.140021003
0,12,69,73,0.631713,27.7308492,-2.6940727,-0.510076539
0,12,55,92,0.8593715,39.6232255,2.9639965,-0.916958734
0,12,72,79,-1.555844,22.8035085,-2.8753406,-0.656780744
0,12,43,38,-1.366865,69.3541635,-2.3969882,-0.23594341
0,13,50,95,-0.4723602,51.1957029,2.9250423,-0.998679226
0,13,85,95,-0.56218,18.6010752,2.5088438,-0.892652577
0,13,76,78,-1.620318,24.7386338,-2.896614,-0.917070051
0,13,87,56,-0.9071871,30.8706981,-2.0054665,-0.266270216
0,13,65,85,-0.1760765,35.0142828,3.113029,-0.990686755
0,13,81,24,0.1285213,62.9364759,-1.8774726,-0.141055579
