latitude,longitude,elevation
  52.01616,-115.64368,1726.70874
  52.11498,-115.58752,1643.39404
  51.92072,-115.90166,2307.91138
  51.91971,-115.62462,1845.29126
  51.73342,-115.50595,1689.64172
  51.90708,-115.78097,2128.17969
  51.76353,-115.78337,2154.62451
  51.96857,-115.52973,1659.19482
  51.90798,-115.80902,2396.23828
  51.96075,-115.49365,1620.44360
  51.77945,-115.52228,1800.60291
  52.06769,-115.52361,1579.34912
  52.09150,-115.91188,1691.27856
  51.98671,-115.85222,2320.12012
  52.05116,-115.61573,1453.60986
  51.73941,-115.48297,1672.27576
  52.05712,-115.82831,1656.06177
  52.09646,-115.80838,1568.06189
  52.10770,-115.83382,1682.39648
  51.79606,-115.83410,2303.83643
  52.06583,-115.81510,1650.29004
  51.81070,-115.78864,2237.12964
  52.10521,-115.70037,1526.87244
  51.74971,-115.67749,1992.86865
  51.83103,-115.61985,2229.57031
  51.95102,-115.64553,1552.21631
  52.03333,-115.64676,1483.16394
  52.14340,-115.87849,1832.26648
  51.90102,-115.87200,1984.06873
  51.74660,-115.53076,1646.66479
  52.00538,-115.87658,1973.06409
  51.87866,-115.86312,1960.80200
  51.97171,-115.69270,1601.76221
  51.89567,-115.52790,1615.45300
  51.82095,-115.75051,1924.67102
  51.91707,-115.65683,1973.45947
  51.99287,-115.64790,1639.44153
  51.81248,-115.73242,2173.02905
  51.91957,-115.54797,1762.00134
  51.76894,-115.54087,1802.25330
  51.77694,-115.56965,2181.97998
  51.92918,-115.67748,1707.74390
  52.10184,-115.71617,1609.36450
  52.02945,-115.81765,1751.93652
  52.04611,-115.48199,1734.32214
  52.05301,-115.90107,1946.23511
  51.73872,-115.73415,2599.86743
  52.05456,-115.56075,1470.04272
  51.76297,-115.55268,1752.09656
  51.73154,-115.89249,2385.31714
  51.81901,-115.50342,2161.42285
  52.10565,-115.63906,1775.04749
  52.00403,-115.60407,1612.61499
  52.13912,-115.63295,1576.69861
  52.12216,-115.82683,1626.26123
  51.89653,-115.69869,1574.20093
  51.84402,-115.63373,2200.49268
  51.83086,-115.82683,2333.50635
  51.88266,-115.51648,1695.92871
  51.84445,-115.68941,2118.13086
  51.98942,-115.51427,1747.62720
  51.76887,-115.80577,2340.50293
  51.97082,-115.79462,1884.47852
  52.11337,-115.74283,1549.00000
  52.11901,-115.60291,1591.21326
  52.09380,-115.75481,1667.37683
  51.84828,-115.61687,2297.13916
  51.78740,-115.67733,2280.31104
  52.09155,-115.73834,1593.02942
  51.86974,-115.59900,1772.67078
  51.93585,-115.80693,2174.62451
  51.82042,-115.88053,2421.66602
  51.97116,-115.72364,1527.48730
  51.79142,-115.53867,1780.85559
  51.79223,-115.59053,2168.32227
  52.11811,-115.53017,1764.58301
  52.10902,-115.89370,1756.06433
  51.81102,-115.50307,2298.42017
  51.92015,-115.53766,1709.52515
  51.75110,-115.68090,2061.07568
  52.06980,-115.63472,1536.43823
  52.08472,-115.56225,1555.85754
  52.13081,-115.87836,1663.98608
  52.14739,-115.65401,1523.56201
  51.78118,-115.68791,2344.65088
  52.14759,-115.60503,1620.33923
  52.13069,-115.81658,1745.67017
  51.95670,-115.54743,1599.40076
  51.74975,-115.80834,2684.39648
  52.14183,-115.74254,1727.61450
  51.92189,-115.84572,2288.90771
  51.86171,-115.60176,1922.32874
  52.13594,-115.83412,1774.54956
  51.94740,-115.58204,1717.83423
  51.88556,-115.50420,1669.03613
  51.89080,-115.48757,1647.22290
  52.12411,-115.74534,1552.03467
  51.91422,-115.77543,1789.31335
  51.74589,-115.50623,1640.64587
  51.84471,-115.55798,2290.11963
  51.77102,-115.77962,2265.26782
  52.03581,-115.88333,1943.77698
  52.04951,-115.72535,1646.19568
  51.74403,-115.85979,2473.94995
  52.00294,-115.54362,1536.97986
  52.08944,-115.69235,1520.71912
  51.98465,-115.75475,1653.56958
  52.00748,-115.71834,1526.07617
  51.78133,-115.62510,1818.86682
  51.95190,-115.74590,2032.70325
  51.73085,-115.83060,2227.70459
  51.83313,-115.78671,1856.98706
  52.11826,-115.89965,1754.48291
  52.08240,-115.65904,1745.70374
  51.91574,-115.82644,2513.09570
  51.99520,-115.75361,1631.82458
  52.00299,-115.53937,1483.96118
  51.89582,-115.55398,1734.41992
  51.96245,-115.61693,1725.17468
  51.73122,-115.83150,2250.76587
  51.81058,-115.60170,2237.05078
  52.03490,-115.56237,1525.74695
  52.06338,-115.60780,1571.21277
  51.93285,-115.55049,1617.96619
  52.01724,-115.89882,2023.91406
  52.07046,-115.63708,1550.51233
  52.07636,-115.86838,1659.69946
  51.82942,-115.60567,2078.46191
  51.87225,-115.78016,1667.14001
  51.98713,-115.83018,2045.00195
  52.07148,-115.58375,1625.92114
  51.75381,-115.69064,1978.97327
  51.74365,-115.79044,2439.12646
  51.98915,-115.71658,1549.52539
  51.79724,-115.75601,2288.62720
  51.84882,-115.58843,2060.69873
  51.92207,-115.66030,1999.42700
  52.11566,-115.70516,1529.00000
  51.88775,-115.80003,1950.57690
  51.82904,-115.71889,2085.17651
  52.00636,-115.53234,1420.25146
  52.06287,-115.68694,1535.05579
  52.13719,-115.69222,1689.46362
  51.91456,-115.66249,2089.06738
  52.12430,-115.51324,1581.57666
  51.97012,-115.81258,1981.89575
  52.03894,-115.88191,1936.99280
  51.99892,-115.78893,1730.39075
  51.87653,-115.75103,1596.55432
  51.97901,-115.60511,1472.37842
  52.00490,-115.60083,1628.05688
  51.91060,-115.73992,1786.16992
  52.13583,-115.77398,1607.59778
  52.12095,-115.69542,1569.05554
  51.97104,-115.85804,2113.35913
  51.86043,-115.77103,1703.53638
  51.90200,-115.52850,1644.50012
  51.85741,-115.89944,1686.96484
  51.95987,-115.65449,1542.90637
  52.09832,-115.54395,1675.95093
  51.90499,-115.64204,1895.47498
  52.02213,-115.82880,1769.09229
  51.82177,-115.49362,2200.09277
  52.05253,-115.70661,1687.02380
  51.96165,-115.56373,1744.12146
  52.07888,-115.58261,1648.59888
  51.80462,-115.62075,2242.79395
  51.91326,-115.69460,1567.65820
  52.06715,-115.91276,1812.91968
  52.01621,-115.84914,2111.67139
  52.12613,-115.73019,1534.96558
  51.79817,-115.71389,1977.57812
