"day","X","Y"
"171",2530.2109412616,-1414.14078707682
"172",2483.81047499196,-1535.3658339966
"173",2457.24846336881,-1544.87410617576
"174",2408.47249241257,-1691.87703944328
"175",2254.92866459516,-1975.7438726918
"176",2271.46685815917,-2042.87010900161
"177",2281.88391151088,-2088.72182911361
"178",2319.48159497421,-2234.00685288267
"179",2121.43347069263,-2453.3172961219
"180",1974.74668161522,-2378.47479164989
"181",1833.24220941805,-2317.90362700258
"182",1753.24102324055,-2314.28470645357
"183",1680.72346255275,-2263.91448915138
"184",1501.31196029603,-2259.21353452081
"185",1408.39889484618,-2356.08663815667
"186",1348.82630700153,-2283.04357759323
"187",1232.02000060316,-2280.42633365048
"188",1091.64705708838,-2258.99044320542
"189",1136.71576538378,-2183.61595756695
"190",1178.82156568439,-2091.36406435548
"191",1225.89638527882,-2118.81752478149
"192",1297.9595831321,-2189.46773547235
"193",1415.37771166245,-2361.35630916226
"194",1224.41651029781,-2486.75303581233
"195",1147.44330206514,-2588.98551424769
"196",1085.29928028324,-2612.69695760084
"197",1042.87908279273,-2721.87755867884
"198",979.239442455612,-2823.82687620027
"199",942.378916039782,-2970.03019332852
"200",850.209725922574,-3190.86629236115
"201",779.464118028349,-3203.75637255057
"202",764.454755284802,-3206.79479090518
"203",655.94418066499,-3191.37717379847
"204",415.559351970667,-3236.34983198624
"205",454.517683821157,-3271.93706093633
"206",522.484824576244,-3322.71275533942
"207",668.696852068296,-3413.00834074717
"208",739.946473572006,-3564.96369468845
"209",714.07320690401,-3665.39814625845
"210",641.342808293727,-3762.56587677121
"211",501.021987867793,-3822.96715195426
"212",454.196665275099,-3810.13410802503
"213",337.23808463786,-3805.02135136909
"214",218.678575653027,-3724.91182493617
"215",200.891397861874,-3615.06592290294
"216",115.229675058768,-3567.52633012842
"217",90.6682296429052,-3521.18882476389
"218",180.59433936462,-3471.17464760322
"219",224.873950682499,-3485.89679338889
"220",274.301118939023,-3539.12121454912
"221",336.744180487866,-3586.77913289893
"222",402.021768066286,-3656.53539268558
"223",422.450737775551,-3739.07894130424
"224",449.787730991372,-3795.5747047045
"225",485.83563840576,-3854.50534995005
"226",691.977480894519,-4066.12371494048
"227",694.404593841796,-4171.83201334359
"228",643.877491021535,-4196.06145301752
"229",643.01032128006,-4270.65236278281
"230",677.146504639933,-4341.59714353342
"231",588.182413867148,-4509.27909448794
"232",435.191888666715,-4624.01215919201
"233",356.767507777115,-4704.60688787492
"234",376.454859993187,-4738.52054156332
"235",244.727327451395,-4806.73767888625
"236",144.193500534916,-4928.93456304271
"237",78.1798193704269,-4778.97582137651
"238",57.3322798787451,-4650.24684219168
"239",-34.675397096996,-4630.24844524408
"240",-218.24594575861,-4601.29372592624
"241",-400.876138805992,-4686.44224745659
"242",-477.695211018138,-4610.59942679333
"243",-368.829218134015,-4457.81939908909
"244",-221.354672276576,-4368.77222396864
"245",-213.908134537115,-4254.06007460839
"246",-157.583923327994,-4222.65225506596
"247",-96.5873742283318,-4239.61642541433
"248",0.543158703147924,-4360.74135199645
"249",185.250711298713,-4505.04235645433
"250",277.411807884639,-4600.92153542918
