"day","X","Y"
"1",0,0
"2",-26.4134071501517,-20.3943179621516
"3",-43.5496418446941,1.31541342624626
"4",-59.9794190068368,33.7904486105844
"5",-32.7793907774075,-9.09377347378526
"6",-37.7872132512191,0.970127313800907
"7",-15.2649892267464,55.986607445189
"8",-31.6130514880719,51.6876201868555
"9",-102.7354220502,70.0538095588263
"10",-67.6941119539091,48.1942523589813
"11",-32.9478561123371,31.9801750018141
"12",7.5219871156586,61.0758145949097
"13",3.54884868501015,32.2709756659937
"14",-7.74276158545016,-14.3880420575103
"15",-7.21873091953531,-60.7106739527738
"16",-4.76386898989456,-56.6690830690822
"17",-44.7499217102719,-38.2245802992581
"18",-20.0865046205952,-11.6052885859723
"19",-36.421090781483,-12.9899548265476
"20",-25.3922792121984,-4.7970344710445
"21",-25.3922792121984,-4.7970344710445
"22",12.5707073239246,99.3622163662301
"23",-125.631112593619,295.19537329412
"24",-185.197900264494,264.029732643357
"25",-286.920101964154,269.170584241396
"26",-400.529643182905,226.382825831671
"27",-458.34168203337,210.3904573899
"28",-484.064858428765,158.995112530924
"29",-526.334999631866,50.0261074352605
"30",-555.191413742245,-68.3174923250897
"31",-423.710630575744,-194.581335986977
"32",-336.246300818827,-203.311332591619
"33",-242.762704857131,-205.683915542251
"34",-206.42127880623,-65.7842184032466
"35",-202.732103588917,-26.2447854147796
"36",-211.368009660452,12.2144230813964
"37",-166.425410203192,66.353498057376
"38",-105.925922005194,111.248301186086
"39",-7.62930713770362,12.5424957037964
"40",85.069779213843,-22.9831366126688
"41",273.881442702039,-131.785149150947
"42",413.912508721197,-51.4916760755556
"43",543.485743154828,41.2935770763031
"44",582.688097397802,40.822504536646
"45",606.980971328001,95.1847023095216
"46",715.741202260576,42.2363636560561
"47",812.771441095973,15.8242200257897
"48",841.56373885725,6.32585137122052
"49",885.510531724071,-29.0994478215159
"50",934.947196421582,-203.183682603243
"51",934.947196421582,-203.183682603243
"52",924.979478509558,-211.350271054093
"53",931.118829626478,-177.398748579767
"54",884.265020981479,-163.173999269795
"55",897.395985591311,-169.591354016161
"56",968.826823474179,-162.541903368517
"57",1014.10809266851,-136.259148838494
"58",1014.08695172732,-135.301654640069
"59",1021.6809056538,-129.064260247881
"60",1030.18126482673,-157.094987602447
"61",1078.04360614705,-171.042765009846
"62",1060.9433307798,-131.105556789652
"63",1066.42392557795,-188.694946756868
"64",1058.67179258771,-202.752484183004
"65",1074.84058733731,-233.955557083404
"66",1071.79462476186,-211.39728135604
"67",1024.28747512973,-252.703931541898
"68",1002.9279202101,-239.770210493681
"69",970.923860089957,-228.840941133809
"70",981.996546820501,-253.56956012525
"71",915.621191317395,-268.427393172239
"72",968.12781655464,-257.306522192645
"73",993.407522033742,-289.079561133325
"74",1018.36963519757,-319.075928453369
"75",1007.53041425375,-335.381190252195
"76",997.6450683544,-305.879522314265
"77",1048.14999954784,-260.177991980676
"78",1042.23067806843,-274.947677305697
"79",1083.0389480311,-272.366995055738
"80",1099.97952980849,-290.406556578291
"81",1052.45071739514,-249.622334069968
"82",998.539729241853,-251.056931270533
"83",1012.6871159774,-275.927499154128
"84",994.526750777646,-291.23975415027
"85",978.834662100516,-245.012338760635
"86",978.894606506482,-173.331597295342
"87",998.672132527589,-153.489353738402
"88",967.331800154162,-176.349179148274
