"","Month","Temperature","Year","nMonth","Date","Time"
"1","Jan",3,1659,1,1659-01-15,-113.576
"360","Feb",4,1659,2,1659-02-15,-113.545
"719","Mar",6,1659,3,1659-03-15,-113.517
"1078","Apr",7,1659,4,1659-04-15,-113.486
"1437","May",11,1659,5,1659-05-15,-113.456
"1796","Jun",13,1659,6,1659-06-15,-113.425
"2155","Jul",16,1659,7,1659-07-15,-113.395
"2514","Aug",16,1659,8,1659-08-15,-113.364
"2873","Sep",13,1659,9,1659-09-15,-113.333
"3232","Oct",10,1659,10,1659-10-15,-113.303
"3591","Nov",5,1659,11,1659-11-15,-113.272
"3950","Dec",2,1659,12,1659-12-15,-113.242
"2","Jan",0,1660,1,1660-01-15,-113.211
"361","Feb",4,1660,2,1660-02-15,-113.18
"720","Mar",6,1660,3,1660-03-15,-113.151
"1079","Apr",9,1660,4,1660-04-15,-113.12
"1438","May",11,1660,5,1660-05-15,-113.09
"1797","Jun",14,1660,6,1660-06-15,-113.059
"2156","Jul",15,1660,7,1660-07-15,-113.029
"2515","Aug",16,1660,8,1660-08-15,-112.998
"2874","Sep",13,1660,9,1660-09-15,-112.967
"3233","Oct",10,1660,10,1660-10-15,-112.937
"3592","Nov",6,1660,11,1660-11-15,-112.906
"3951","Dec",5,1660,12,1660-12-15,-112.876
"3","Jan",5,1661,1,1661-01-15,-112.845
"362","Feb",5,1661,2,1661-02-15,-112.814
"721","Mar",6,1661,3,1661-03-15,-112.786
"1080","Apr",8,1661,4,1661-04-15,-112.755
"1439","May",11,1661,5,1661-05-15,-112.725
"1798","Jun",14,1661,6,1661-06-15,-112.694
"2157","Jul",15,1661,7,1661-07-15,-112.664
"2516","Aug",15,1661,8,1661-08-15,-112.633
"2875","Sep",13,1661,9,1661-09-15,-112.602
"3234","Oct",11,1661,10,1661-10-15,-112.572
"3593","Nov",8,1661,11,1661-11-15,-112.541
"3952","Dec",6,1661,12,1661-12-15,-112.511
"4","Jan",5,1662,1,1662-01-15,-112.48
"363","Feb",6,1662,2,1662-02-15,-112.449
"722","Mar",6,1662,3,1662-03-15,-112.421
"1081","Apr",8,1662,4,1662-04-15,-112.39
"1440","May",11,1662,5,1662-05-15,-112.36
"1799","Jun",15,1662,6,1662-06-15,-112.329
"2158","Jul",15,1662,7,1662-07-15,-112.299
"2517","Aug",15,1662,8,1662-08-15,-112.268
"2876","Sep",13,1662,9,1662-09-15,-112.237
"3235","Oct",11,1662,10,1662-10-15,-112.207
"3594","Nov",6,1662,11,1662-11-15,-112.176
"3953","Dec",3,1662,12,1662-12-15,-112.146
"5","Jan",1,1663,1,1663-01-15,-112.115
"364","Feb",1,1663,2,1663-02-15,-112.084
"723","Mar",5,1663,3,1663-03-15,-112.056
"1082","Apr",7,1663,4,1663-04-15,-112.025
"1441","May",10,1663,5,1663-05-15,-111.995
"1800","Jun",14,1663,6,1663-06-15,-111.964
"2159","Jul",15,1663,7,1663-07-15,-111.934
"2518","Aug",15,1663,8,1663-08-15,-111.903
"2877","Sep",13,1663,9,1663-09-15,-111.872
"3236","Oct",10,1663,10,1663-10-15,-111.842
"3595","Nov",7,1663,11,1663-11-15,-111.811
"3954","Dec",5,1663,12,1663-12-15,-111.781
"6","Jan",4,1664,1,1664-01-15,-111.75
"365","Feb",5,1664,2,1664-02-15,-111.719
"724","Mar",5,1664,3,1664-03-15,-111.69
"1083","Apr",8,1664,4,1664-04-15,-111.659
"1442","May",11,1664,5,1664-05-15,-111.629
"1801","Jun",15,1664,6,1664-06-15,-111.598
"2160","Jul",16,1664,7,1664-07-15,-111.568
"2519","Aug",16,1664,8,1664-08-15,-111.537
"2878","Sep",13,1664,9,1664-09-15,-111.506
"3237","Oct",9,1664,10,1664-10-15,-111.476
"3596","Nov",6,1664,11,1664-11-15,-111.445
"3955","Dec",4,1664,12,1664-12-15,-111.415
"7","Jan",1,1665,1,1665-01-15,-111.384
"366","Feb",1,1665,2,1665-02-15,-111.353
"725","Mar",5,1665,3,1665-03-15,-111.325
"1084","Apr",7,1665,4,1665-04-15,-111.294
"1443","May",10,1665,5,1665-05-15,-111.264
"1802","Jun",14,1665,6,1665-06-15,-111.233
"2161","Jul",16,1665,7,1665-07-15,-111.203
"2520","Aug",15,1665,8,1665-08-15,-111.172
"2879","Sep",13,1665,9,1665-09-15,-111.141
"3238","Oct",9,1665,10,1665-10-15,-111.111
"3597","Nov",6,1665,11,1665-11-15,-111.08
"3956","Dec",2,1665,12,1665-12-15,-111.05
"8","Jan",4,1666,1,1666-01-15,-111.019
"367","Feb",5,1666,2,1666-02-15,-110.988
"726","Mar",6,1666,3,1666-03-15,-110.96
"1085","Apr",8,1666,4,1666-04-15,-110.929
"1444","May",11,1666,5,1666-05-15,-110.899
"1803","Jun",15,1666,6,1666-06-15,-110.868
"2162","Jul",18,1666,7,1666-07-15,-110.838
"2521","Aug",17,1666,8,1666-08-15,-110.807
"2880","Sep",14,1666,9,1666-09-15,-110.776
"3239","Oct",11,1666,10,1666-10-15,-110.746
"3598","Nov",6,1666,11,1666-11-15,-110.715
"3957","Dec",3,1666,12,1666-12-15,-110.685
"9","Jan",0,1667,1,1667-01-15,-110.654
"368","Feb",4,1667,2,1667-02-15,-110.623
"727","Mar",2,1667,3,1667-03-15,-110.595
"1086","Apr",7,1667,4,1667-04-15,-110.564
"1445","May",10,1667,5,1667-05-15,-110.534
"1804","Jun",15,1667,6,1667-06-15,-110.503
"2163","Jul",17,1667,7,1667-07-15,-110.473
"2522","Aug",16,1667,8,1667-08-15,-110.442
"2881","Sep",13,1667,9,1667-09-15,-110.411
"3240","Oct",9,1667,10,1667-10-15,-110.381
"3599","Nov",6,1667,11,1667-11-15,-110.35
"3958","Dec",3,1667,12,1667-12-15,-110.32
"10","Jan",5,1668,1,1668-01-15,-110.289
"369","Feb",5,1668,2,1668-02-15,-110.258
"728","Mar",5,1668,3,1668-03-15,-110.229
"1087","Apr",8,1668,4,1668-04-15,-110.198
"1446","May",10,1668,5,1668-05-15,-110.168
"1805","Jun",14,1668,6,1668-06-15,-110.137
"2164","Jul",16,1668,7,1668-07-15,-110.107
"2523","Aug",16,1668,8,1668-08-15,-110.076
"2882","Sep",14,1668,9,1668-09-15,-110.045
"3241","Oct",10,1668,10,1668-10-15,-110.015
"3600","Nov",6,1668,11,1668-11-15,-109.984
"3959","Dec",5,1668,12,1668-12-15,-109.954
"11","Jan",1,1669,1,1669-01-15,-109.923
"370","Feb",4,1669,2,1669-02-15,-109.892
"729","Mar",5,1669,3,1669-03-15,-109.864
"1088","Apr",7,1669,4,1669-04-15,-109.833
"1447","May",11,1669,5,1669-05-15,-109.803
"1806","Jun",15,1669,6,1669-06-15,-109.772
"2165","Jul",17,1669,7,1669-07-15,-109.742
"2524","Aug",16,1669,8,1669-08-15,-109.711
"2883","Sep",14,1669,9,1669-09-15,-109.68
"3242","Oct",10,1669,10,1669-10-15,-109.65
"3601","Nov",6,1669,11,1669-11-15,-109.619
"3960","Dec",2,1669,12,1669-12-15,-109.589
"12","Jan",3,1670,1,1670-01-15,-109.558
"371","Feb",1,1670,2,1670-02-15,-109.527
"730","Mar",5,1670,3,1670-03-15,-109.499
"1089","Apr",8,1670,4,1670-04-15,-109.468
"1448","May",11,1670,5,1670-05-15,-109.438
"1807","Jun",14,1670,6,1670-06-15,-109.407
"2166","Jul",16,1670,7,1670-07-15,-109.377
"2525","Aug",16,1670,8,1670-08-15,-109.346
"2884","Sep",14,1670,9,1670-09-15,-109.315
"3243","Oct",10,1670,10,1670-10-15,-109.285
"3602","Nov",6,1670,11,1670-11-15,-109.254
"3961","Dec",3,1670,12,1670-12-15,-109.224
"13","Jan",4,1671,1,1671-01-15,-109.193
"372","Feb",3.5,1671,2,1671-02-15,-109.162
"731","Mar",5,1671,3,1671-03-15,-109.134
"1090","Apr",7.5,1671,4,1671-04-15,-109.103
"1449","May",11.5,1671,5,1671-05-15,-109.073
"1808","Jun",13.5,1671,6,1671-06-15,-109.042
"2167","Jul",16,1671,7,1671-07-15,-109.012
"2526","Aug",15.5,1671,8,1671-08-15,-108.981
"2885","Sep",13.5,1671,9,1671-09-15,-108.95
"3244","Oct",8.5,1671,10,1671-10-15,-108.92
"3603","Nov",6,1671,11,1671-11-15,-108.889
"3962","Dec",4,1671,12,1671-12-15,-108.859
"14","Jan",1.5,1672,1,1672-01-15,-108.828
"373","Feb",1.5,1672,2,1672-02-15,-108.797
"732","Mar",5,1672,3,1672-03-15,-108.768
"1091","Apr",7,1672,4,1672-04-15,-108.737
"1450","May",12,1672,5,1672-05-15,-108.707
"1809","Jun",16,1672,6,1672-06-15,-108.676
"2168","Jul",15,1672,7,1672-07-15,-108.646
"2527","Aug",14,1672,8,1672-08-15,-108.615
"2886","Sep",11,1672,9,1672-09-15,-108.584
"3245","Oct",11.5,1672,10,1672-10-15,-108.554
"3604","Nov",6.5,1672,11,1672-11-15,-108.523
"3963","Dec",4.5,1672,12,1672-12-15,-108.493
"15","Jan",5,1673,1,1673-01-15,-108.462
"374","Feb",1.5,1673,2,1673-02-15,-108.431
"733","Mar",5.5,1673,3,1673-03-15,-108.403
"1092","Apr",7,1673,4,1673-04-15,-108.372
"1451","May",11,1673,5,1673-05-15,-108.342
"1810","Jun",14.5,1673,6,1673-06-15,-108.311
"2169","Jul",15.5,1673,7,1673-07-15,-108.281
"2528","Aug",15.5,1673,8,1673-08-15,-108.25
"2887","Sep",11.5,1673,9,1673-09-15,-108.219
"3246","Oct",7.5,1673,10,1673-10-15,-108.189
"3605","Nov",5,1673,11,1673-11-15,-108.158
"3964","Dec",0.5,1673,12,1673-12-15,-108.128
"16","Jan",5,1674,1,1674-01-15,-108.097
"375","Feb",2,1674,2,1674-02-15,-108.066
"734","Mar",1,1674,3,1674-03-15,-108.038
"1093","Apr",7.5,1674,4,1674-04-15,-108.007
"1452","May",11,1674,5,1674-05-15,-107.977
"1811","Jun",13.5,1674,6,1674-06-15,-107.946
"2170","Jul",14,1674,7,1674-07-15,-107.916
"2529","Aug",13.5,1674,8,1674-08-15,-107.885
"2888","Sep",10.5,1674,9,1674-09-15,-107.854
"3247","Oct",9,1674,10,1674-10-15,-107.824
"3606","Nov",6.5,1674,11,1674-11-15,-107.793
"3965","Dec",3.5,1674,12,1674-12-15,-107.763
"17","Jan",3,1675,1,1675-01-15,-107.732
"376","Feb",2,1675,2,1675-02-15,-107.701
"735","Mar",3,1675,3,1675-03-15,-107.673
"1094","Apr",7,1675,4,1675-04-15,-107.642
"1453","May",10.5,1675,5,1675-05-15,-107.612
"1812","Jun",11.5,1675,6,1675-06-15,-107.581
"2171","Jul",15,1675,7,1675-07-15,-107.551
"2530","Aug",14.5,1675,8,1675-08-15,-107.52
"2889","Sep",10.5,1675,9,1675-09-15,-107.489
"3248","Oct",8,1675,10,1675-10-15,-107.459
"3607","Nov",4.5,1675,11,1675-11-15,-107.428
"3966","Dec",4.5,1675,12,1675-12-15,-107.398
"18","Jan",5.5,1676,1,1676-01-15,-107.367
"377","Feb",5,1676,2,1676-02-15,-107.336
"736","Mar",5,1676,3,1676-03-15,-107.307
"1095","Apr",7.5,1676,4,1676-04-15,-107.276
"1454","May",10.5,1676,5,1676-05-15,-107.246
"1813","Jun",18,1676,6,1676-06-15,-107.215
"2172","Jul",16,1676,7,1676-07-15,-107.185
"2531","Aug",16.5,1676,8,1676-08-15,-107.154
"2890","Sep",12,1676,9,1676-09-15,-107.123
"3249","Oct",7,1676,10,1676-10-15,-107.093
"3608","Nov",3.5,1676,11,1676-11-15,-107.062
"3967","Dec",-0.5,1676,12,1676-12-15,-107.032
"19","Jan",3,1677,1,1677-01-15,-107.001
"378","Feb",3.5,1677,2,1677-02-15,-106.97
"737","Mar",7,1677,3,1677-03-15,-106.942
"1096","Apr",7.5,1677,4,1677-04-15,-106.911
"1455","May",10,1677,5,1677-05-15,-106.881
"1814","Jun",13,1677,6,1677-06-15,-106.85
"2173","Jul",18,1677,7,1677-07-15,-106.82
"2532","Aug",15,1677,8,1677-08-15,-106.789
"2891","Sep",13,1677,9,1677-09-15,-106.758
"3250","Oct",8.5,1677,10,1677-10-15,-106.728
"3609","Nov",4.5,1677,11,1677-11-15,-106.697
"3968","Dec",2,1677,12,1677-12-15,-106.667
"20","Jan",1.5,1678,1,1678-01-15,-106.636
"379","Feb",2,1678,2,1678-02-15,-106.605
"738","Mar",4,1678,3,1678-03-15,-106.577
"1097","Apr",6.5,1678,4,1678-04-15,-106.546
"1456","May",11,1678,5,1678-05-15,-106.516
"1815","Jun",14.5,1678,6,1678-06-15,-106.485
"2174","Jul",16.5,1678,7,1678-07-15,-106.455
"2533","Aug",15,1678,8,1678-08-15,-106.424
"2892","Sep",15,1678,9,1678-09-15,-106.393
"3251","Oct",8.5,1678,10,1678-10-15,-106.363
"3610","Nov",6,1678,11,1678-11-15,-106.332
"3969","Dec",0.5,1678,12,1678-12-15,-106.302
"21","Jan",1,1679,1,1679-01-15,-106.271
"380","Feb",1.5,1679,2,1679-02-15,-106.24
"739","Mar",4.5,1679,3,1679-03-15,-106.212
"1098","Apr",7,1679,4,1679-04-15,-106.181
"1457","May",12,1679,5,1679-05-15,-106.151
"1816","Jun",15.5,1679,6,1679-06-15,-106.12
"2175","Jul",16,1679,7,1679-07-15,-106.09
"2534","Aug",17,1679,8,1679-08-15,-106.059
"2893","Sep",13,1679,9,1679-09-15,-106.028
"3252","Oct",11,1679,10,1679-10-15,-105.998
"3611","Nov",3.5,1679,11,1679-11-15,-105.967
"3970","Dec",2.5,1679,12,1679-12-15,-105.937
"22","Jan",3.5,1680,1,1680-01-15,-105.906
"381","Feb",3.5,1680,2,1680-02-15,-105.875
"740","Mar",6,1680,3,1680-03-15,-105.846
"1099","Apr",6.5,1680,4,1680-04-15,-105.815
"1458","May",10.5,1680,5,1680-05-15,-105.785
"1817","Jun",13,1680,6,1680-06-15,-105.754
"2176","Jul",16,1680,7,1680-07-15,-105.724
"2535","Aug",15,1680,8,1680-08-15,-105.693
"2894","Sep",14.5,1680,9,1680-09-15,-105.662
"3253","Oct",10.5,1680,10,1680-10-15,-105.632
"3612","Nov",6.5,1680,11,1680-11-15,-105.601
"3971","Dec",1,1680,12,1680-12-15,-105.571
"23","Jan",0.5,1681,1,1681-01-15,-105.54
"382","Feb",1.5,1681,2,1681-02-15,-105.509
"741","Mar",4,1681,3,1681-03-15,-105.481
"1100","Apr",8,1681,4,1681-04-15,-105.45
"1459","May",10.5,1681,5,1681-05-15,-105.42
"1818","Jun",14,1681,6,1681-06-15,-105.389
"2177","Jul",15,1681,7,1681-07-15,-105.359
"2536","Aug",16,1681,8,1681-08-15,-105.328
"2895","Sep",14,1681,9,1681-09-15,-105.297
"3254","Oct",11.5,1681,10,1681-10-15,-105.267
"3613","Nov",6.5,1681,11,1681-11-15,-105.236
"3972","Dec",3,1681,12,1681-12-15,-105.206
"24","Jan",6,1682,1,1682-01-15,-105.175
"383","Feb",2,1682,2,1682-02-15,-105.144
"742","Mar",4.5,1682,3,1682-03-15,-105.116
"1101","Apr",6.5,1682,4,1682-04-15,-105.085
"1460","May",11.5,1682,5,1682-05-15,-105.055
"1819","Jun",14,1682,6,1682-06-15,-105.024
"2178","Jul",15,1682,7,1682-07-15,-104.994
"2537","Aug",14.5,1682,8,1682-08-15,-104.963
"2896","Sep",13,1682,9,1682-09-15,-104.932
"3255","Oct",9.5,1682,10,1682-10-15,-104.902
"3614","Nov",5.5,1682,11,1682-11-15,-104.871
"3973","Dec",6,1682,12,1682-12-15,-104.841
"25","Jan",3.5,1683,1,1683-01-15,-104.81
"384","Feb",2,1683,2,1683-02-15,-104.779
"743","Mar",5.5,1683,3,1683-03-15,-104.751
"1102","Apr",9.5,1683,4,1683-04-15,-104.72
"1461","May",11.5,1683,5,1683-05-15,-104.69
"1820","Jun",16,1683,6,1683-06-15,-104.659
"2179","Jul",15.5,1683,7,1683-07-15,-104.629
"2538","Aug",13.5,1683,8,1683-08-15,-104.598
"2897","Sep",13,1683,9,1683-09-15,-104.567
"3256","Oct",6.5,1683,10,1683-10-15,-104.537
"3615","Nov",4.5,1683,11,1683-11-15,-104.506
"3974","Dec",0.5,1683,12,1683-12-15,-104.476
"26","Jan",-3,1684,1,1684-01-15,-104.445
"385","Feb",-1,1684,2,1684-02-15,-104.414
"744","Mar",3,1684,3,1684-03-15,-104.385
"1103","Apr",6.5,1684,4,1684-04-15,-104.354
"1462","May",13,1684,5,1684-05-15,-104.324
"1821","Jun",15,1684,6,1684-06-15,-104.293
"2180","Jul",16,1684,7,1684-07-15,-104.263
"2539","Aug",15.5,1684,8,1684-08-15,-104.232
"2898","Sep",12,1684,9,1684-09-15,-104.201
"3257","Oct",11,1684,10,1684-10-15,-104.171
"3616","Nov",3,1684,11,1684-11-15,-104.14
"3975","Dec",4,1684,12,1684-12-15,-104.11
"27","Jan",0.5,1685,1,1685-01-15,-104.079
"386","Feb",3.5,1685,2,1685-02-15,-104.048
"745","Mar",5,1685,3,1685-03-15,-104.02
"1104","Apr",8.5,1685,4,1685-04-15,-103.989
"1463","May",12.5,1685,5,1685-05-15,-103.959
"1822","Jun",14.5,1685,6,1685-06-15,-103.928
"2181","Jul",14,1685,7,1685-07-15,-103.898
"2540","Aug",14.5,1685,8,1685-08-15,-103.867
"2899","Sep",11.5,1685,9,1685-09-15,-103.836
"3258","Oct",11.5,1685,10,1685-10-15,-103.806
"3617","Nov",7,1685,11,1685-11-15,-103.775
"3976","Dec",6.5,1685,12,1685-12-15,-103.745
"28","Jan",6.5,1686,1,1686-01-15,-103.714
"387","Feb",6,1686,2,1686-02-15,-103.683
"746","Mar",7,1686,3,1686-03-15,-103.655
"1105","Apr",8.5,1686,4,1686-04-15,-103.624
"1464","May",12.5,1686,5,1686-05-15,-103.594
"1823","Jun",15.5,1686,6,1686-06-15,-103.563
"2182","Jul",16.5,1686,7,1686-07-15,-103.533
"2541","Aug",14.5,1686,8,1686-08-15,-103.502
"2900","Sep",13,1686,9,1686-09-15,-103.471
"3259","Oct",9,1686,10,1686-10-15,-103.441
"3618","Nov",6.5,1686,11,1686-11-15,-103.41
"3977","Dec",6,1686,12,1686-12-15,-103.38
"29","Jan",3.5,1687,1,1687-01-15,-103.349
"388","Feb",4.5,1687,2,1687-02-15,-103.318
"747","Mar",4.5,1687,3,1687-03-15,-103.29
"1106","Apr",6.5,1687,4,1687-04-15,-103.259
"1465","May",11,1687,5,1687-05-15,-103.229
"1824","Jun",13,1687,6,1687-06-15,-103.198
"2183","Jul",15.5,1687,7,1687-07-15,-103.168
"2542","Aug",15,1687,8,1687-08-15,-103.137
"2901","Sep",11,1687,9,1687-09-15,-103.106
"3260","Oct",11,1687,10,1687-10-15,-103.076
"3619","Nov",6,1687,11,1687-11-15,-103.045
"3978","Dec",6,1687,12,1687-12-15,-103.015
"30","Jan",3.5,1688,1,1688-01-15,-102.984
"389","Feb",1.5,1688,2,1688-02-15,-102.953
"748","Mar",3.5,1688,3,1688-03-15,-102.924
"1107","Apr",5.5,1688,4,1688-04-15,-102.893
"1466","May",10.5,1688,5,1688-05-15,-102.863
"1825","Jun",13,1688,6,1688-06-15,-102.832
"2184","Jul",15.5,1688,7,1688-07-15,-102.802
"2543","Aug",15,1688,8,1688-08-15,-102.771
"2902","Sep",12,1688,9,1688-09-15,-102.74
"3261","Oct",7,1688,10,1688-10-15,-102.71
"3620","Nov",4,1688,11,1688-11-15,-102.679
"3979","Dec",3,1688,12,1688-12-15,-102.649
"31","Jan",0.5,1689,1,1689-01-15,-102.618
"390","Feb",4.5,1689,2,1689-02-15,-102.587
"749","Mar",5,1689,3,1689-03-15,-102.559
"1108","Apr",8,1689,4,1689-04-15,-102.528
"1467","May",11,1689,5,1689-05-15,-102.498
"1826","Jun",12,1689,6,1689-06-15,-102.467
"2185","Jul",15.5,1689,7,1689-07-15,-102.437
"2544","Aug",15.5,1689,8,1689-08-15,-102.406
"2903","Sep",13,1689,9,1689-09-15,-102.375
"3262","Oct",8,1689,10,1689-10-15,-102.345
"3621","Nov",5,1689,11,1689-11-15,-102.314
"3980","Dec",4.5,1689,12,1689-12-15,-102.284
"32","Jan",4,1690,1,1690-01-15,-102.253
"391","Feb",4.5,1690,2,1690-02-15,-102.222
"750","Mar",4.5,1690,3,1690-03-15,-102.194
"1109","Apr",8,1690,4,1690-04-15,-102.163
"1468","May",9.5,1690,5,1690-05-15,-102.133
"1827","Jun",13.5,1690,6,1690-06-15,-102.102
"2186","Jul",15.5,1690,7,1690-07-15,-102.072
"2545","Aug",15,1690,8,1690-08-15,-102.041
"2904","Sep",13,1690,9,1690-09-15,-102.01
"3263","Oct",8.5,1690,10,1690-10-15,-101.98
"3622","Nov",6.5,1690,11,1690-11-15,-101.949
"3981","Dec",4.5,1690,12,1690-12-15,-101.919
"33","Jan",1,1691,1,1691-01-15,-101.888
"392","Feb",1,1691,2,1691-02-15,-101.857
"751","Mar",5,1691,3,1691-03-15,-101.829
"1110","Apr",6.5,1691,4,1691-04-15,-101.798
"1469","May",10,1691,5,1691-05-15,-101.768
"1828","Jun",14.5,1691,6,1691-06-15,-101.737
"2187","Jul",15.5,1691,7,1691-07-15,-101.707
"2546","Aug",15.5,1691,8,1691-08-15,-101.676
"2905","Sep",11,1691,9,1691-09-15,-101.645
"3264","Oct",9,1691,10,1691-10-15,-101.615
"3623","Nov",5,1691,11,1691-11-15,-101.584
"3982","Dec",3.5,1691,12,1691-12-15,-101.554
"34","Jan",2,1692,1,1692-01-15,-101.523
"393","Feb",0,1692,2,1692-02-15,-101.492
"752","Mar",4,1692,3,1692-03-15,-101.463
"1111","Apr",7.5,1692,4,1692-04-15,-101.432
"1470","May",9,1692,5,1692-05-15,-101.402
"1829","Jun",13.5,1692,6,1692-06-15,-101.371
"2188","Jul",15,1692,7,1692-07-15,-101.341
"2547","Aug",15,1692,8,1692-08-15,-101.31
"2906","Sep",11.5,1692,9,1692-09-15,-101.279
"3265","Oct",6.5,1692,10,1692-10-15,-101.249
"3624","Nov",5,1692,11,1692-11-15,-101.218
"3983","Dec",3.5,1692,12,1692-12-15,-101.188
"35","Jan",3,1693,1,1693-01-15,-101.157
"394","Feb",5,1693,2,1693-02-15,-101.126
"753","Mar",3,1693,3,1693-03-15,-101.098
"1112","Apr",6.5,1693,4,1693-04-15,-101.067
"1471","May",9,1693,5,1693-05-15,-101.037
"1830","Jun",14.5,1693,6,1693-06-15,-101.006
"2189","Jul",15,1693,7,1693-07-15,-100.976
"2548","Aug",15,1693,8,1693-08-15,-100.945
"2907","Sep",12,1693,9,1693-09-15,-100.914
"3266","Oct",9.5,1693,10,1693-10-15,-100.884
"3625","Nov",6,1693,11,1693-11-15,-100.853
"3984","Dec",3,1693,12,1693-12-15,-100.823
"36","Jan",0,1694,1,1694-01-15,-100.792
"395","Feb",5,1694,2,1694-02-15,-100.761
"754","Mar",3.5,1694,3,1694-03-15,-100.733
"1113","Apr",7.5,1694,4,1694-04-15,-100.702
"1472","May",9,1694,5,1694-05-15,-100.672
"1831","Jun",13,1694,6,1694-06-15,-100.641
"2190","Jul",15,1694,7,1694-07-15,-100.611
"2549","Aug",13,1694,8,1694-08-15,-100.58
"2908","Sep",10.5,1694,9,1694-09-15,-100.549
"3267","Oct",7.5,1694,10,1694-10-15,-100.519
"3626","Nov",5.5,1694,11,1694-11-15,-100.488
"3985","Dec",2.5,1694,12,1694-12-15,-100.458
"37","Jan",-1,1695,1,1695-01-15,-100.427
"396","Feb",0.5,1695,2,1695-02-15,-100.396
"755","Mar",3.5,1695,3,1695-03-15,-100.368
"1114","Apr",5.5,1695,4,1695-04-15,-100.337
"1473","May",9,1695,5,1695-05-15,-100.307
"1832","Jun",13,1695,6,1695-06-15,-100.276
"2191","Jul",13.5,1695,7,1695-07-15,-100.246
"2550","Aug",13,1695,8,1695-08-15,-100.215
"2909","Sep",11.5,1695,9,1695-09-15,-100.184
"3268","Oct",9,1695,10,1695-10-15,-100.154
"3627","Nov",5.5,1695,11,1695-11-15,-100.123
"3986","Dec",4,1695,12,1695-12-15,-100.093
"38","Jan",5.5,1696,1,1696-01-15,-100.062
"397","Feb",4.5,1696,2,1696-02-15,-100.031
"756","Mar",3.5,1696,3,1696-03-15,-100.002
"1115","Apr",5.5,1696,4,1696-04-15,-99.971
"1474","May",10.5,1696,5,1696-05-15,-99.941
"1833","Jun",13,1696,6,1696-06-15,-99.91
"2192","Jul",15.5,1696,7,1696-07-15,-99.88
"2551","Aug",15.5,1696,8,1696-08-15,-99.849
"2910","Sep",11.5,1696,9,1696-09-15,-99.818
"3269","Oct",9,1696,10,1696-10-15,-99.788
"3628","Nov",5.5,1696,11,1696-11-15,-99.757
"3987","Dec",2.5,1696,12,1696-12-15,-99.727
"39","Jan",1,1697,1,1697-01-15,-99.696
"398","Feb",0.5,1697,2,1697-02-15,-99.665
"757","Mar",5.5,1697,3,1697-03-15,-99.637
"1116","Apr",7,1697,4,1697-04-15,-99.606
"1475","May",11.5,1697,5,1697-05-15,-99.576
"1834","Jun",13,1697,6,1697-06-15,-99.545
"2193","Jul",15.5,1697,7,1697-07-15,-99.515
"2552","Aug",14.5,1697,8,1697-08-15,-99.484
"2911","Sep",12,1697,9,1697-09-15,-99.453
"3270","Oct",9,1697,10,1697-10-15,-99.423
"3629","Nov",4,1697,11,1697-11-15,-99.392
"3988","Dec",2.5,1697,12,1697-12-15,-99.362
"40","Jan",0,1698,1,1698-01-15,-99.331
"399","Feb",0.5,1698,2,1698-02-15,-99.3
"758","Mar",3.5,1698,3,1698-03-15,-99.272
"1117","Apr",7.5,1698,4,1698-04-15,-99.241
"1476","May",8.5,1698,5,1698-05-15,-99.211
"1835","Jun",12,1698,6,1698-06-15,-99.18
"2194","Jul",15,1698,7,1698-07-15,-99.15
"2553","Aug",15,1698,8,1698-08-15,-99.119
"2912","Sep",13,1698,9,1698-09-15,-99.088
"3271","Oct",9,1698,10,1698-10-15,-99.058
"3630","Nov",4,1698,11,1698-11-15,-99.027
"3989","Dec",3.5,1698,12,1698-12-15,-98.997
"41","Jan",3.4,1699,1,1699-01-15,-98.966
"400","Feb",3.4,1699,2,1699-02-15,-98.935
"759","Mar",3.9,1699,3,1699-03-15,-98.907
"1118","Apr",6.4,1699,4,1699-04-15,-98.876
"1477","May",10,1699,5,1699-05-15,-98.846
"1836","Jun",14.4,1699,6,1699-06-15,-98.815
"2195","Jul",17.2,1699,7,1699-07-15,-98.785
"2554","Aug",15,1699,8,1699-08-15,-98.754
"2913","Sep",13.3,1699,9,1699-09-15,-98.723
"3272","Oct",9.4,1699,10,1699-10-15,-98.693
"3631","Nov",5.6,1699,11,1699-11-15,-98.662
"3990","Dec",3.6,1699,12,1699-12-15,-98.632
"42","Jan",3.9,1700,1,1700-01-15,-98.601
"401","Feb",2.5,1700,2,1700-02-15,-98.57
"760","Mar",3.6,1700,3,1700-03-15,-98.542
"1119","Apr",6.4,1700,4,1700-04-15,-98.511
"1478","May",12,1700,5,1700-05-15,-98.481
"1837","Jun",13.6,1700,6,1700-06-15,-98.45
"2196","Jul",15,1700,7,1700-07-15,-98.42
"2555","Aug",15,1700,8,1700-08-15,-98.389
"2914","Sep",12.8,1700,9,1700-09-15,-98.358
"3273","Oct",8.9,1700,10,1700-10-15,-98.328
"3632","Nov",5,1700,11,1700-11-15,-98.297
"3991","Dec",4.2,1700,12,1700-12-15,-98.267
"43","Jan",2.8,1701,1,1701-01-15,-98.236
"402","Feb",2.5,1701,2,1701-02-15,-98.205
"761","Mar",2.8,1701,3,1701-03-15,-98.177
"1120","Apr",4.7,1701,4,1701-04-15,-98.146
"1479","May",10.9,1701,5,1701-05-15,-98.116
"1838","Jun",14.2,1701,6,1701-06-15,-98.085
"2197","Jul",18.3,1701,7,1701-07-15,-98.055
